taxon	min	max
Acanthognathus_poinari	13.82	20.44
Acanthostichus_hispaniolicus	13.82	20.44
Afropone_oculata	89.8	93.9
Alloiomma_changweiensis	15.97	20.44
Archimyrmex_piatnitzkyi	41.3	47.8
Attopsis_longipennis	11.608	12.7
Bradoponera_wunderlichi	33.9	38.
Britaneuretus_anglicus	33.9	38.
Brownimecia_clavata	89.8	93.9
Canapone_dentata	70.6	83.5
Casaleia_eocenica	40.4	48.6
Ceratomyrmex_ellenbergeri	93.5	99.6
Eulithomyrmex_rugosus	33.9	37.2
Formicium_berryi	38.	41.3
Paraponera_dieteri	13.82	20.44
Pseudomyrmex_extinctus	33.9	37.2
Brownimecia_clavata	89.8	93.9
Camelomecia_janovitzi	98.17	99.41
Gerontoformica_gracilis	93.5	99.6
Gerontoformica_magnus	93.5	99.6
Gerontoformica_pilosus	93.5	99.6
Gerontoformica_spiralis	93.5	99.6
Haidomyrmex_scimitarus	93.5	99.6
Haidomyrmodes_mammuthus	98.0	100.0
Haidoterminus_cippus	78.0	79.0
Kyromyrma_sp	89.8	93.9
Myanmyrma_gracilis	93.5	99.6
Sphecomyrma_freyi	79.0	92.0
Zigrasimecia_sp	98.17	99.41
